artist_name,biography,listeners,playcount,similar_artists
Leslie Odom Jr.,"Leslie Odom, Jr (born August 6, 1981) is an American actor and singer. He has performed on Broadway and in television and film, as well as in other theatrical productions. 
He is best known for the roles of Aaron Burr in the 2015 musical Hamilton and Sam Strickland in the 2013 musical television series Smash.
 https://www.last.fm/music/Leslie+Odom+Jr.",780378,33296954,"['Christopher Jackson', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Lin-Manuel Miranda', 'Thayne Jasperson']"
"Fear, and Loathing in Las Vegas","Fear, and Loathing in Las Vegas is a electronicore band formed in the summer of 2008 in Kobe, Hyōgo Prefecture, Japan. The band was formed by members from Ending for a Start and Blank Time.

The band mainly plays heavy music with both high and low shouts, but unlike typical metal sounds, they have electronic beats and autotuned singing. The band spent much time searching for a clean vocalist, So (ex. Bombreligion) joined in the spring of 2009 as their 6th member. https://www.last.fm/music/Fear,+and+Loathing+in+Las+Vegas",213493,7951958,"['a crowd of rebellion', 'MY FIRST STORY', 'coldrain', 'Fact', 'Crossfaith']"
Bear McCreary,"Bear McCreary (born February 17, 1979) is an American composer.

McCreary has been nominated for a Primetime Emmy Award for Outstanding Music Composition for a Series for his work on season one of Outlander and won one Emmy for Outstanding Original Main Title Theme Music for Da Vinci's Demons. He is also a two-time winner of both the British Academy Games Award for Music and D.I.C.E. Award for Outstanding Achievement in Original Music Composition for his work on God of War and God of War Ragnarök. https://www.last.fm/music/Bear+McCreary",520843,20700177,"['Richard Gibbs', 'Lorne Balfe', 'Howard Shore', 'Ramin Djawadi', 'Brian Tyler']"
Toby Fox,"Toby Fox is an American developer and composer behind the 2015 hit indie video game Undertale.

In 2018, Toby Fox released Chapter 1 of his game Deltarune, following suit and composing the soundtrack on his own. Chapter 2 followed in 2021, Chapters 3 and 4 in 2025, and Chapter 5 slated for release in 2026, each accompanied by his music with minor contributions from other artists. In 2020, Fox contributed to the OMORI soundtrack.

Additionally, under the alias Radiation, Fox composed music for the webcomic Homestuck. https://www.last.fm/music/Toby+Fox",1106419,133289863,"['Lena Raine', 'Omori', 'Laura Shigihara', 'Nightmargin', 'DM DOKURO']"
Daveed Diggs,"Daveed Daniele Diggs (born January 24, 1982 in Oakland, California) is an Oakland born rapper, writer, actor, and educator. He is a part of the critically acclaimed hip-hop trio, clipping. https://www.last.fm/music/Daveed+Diggs",395029,4603573,"['Christopher Jackson', 'Phillipa Soo', 'Leslie Odom Jr.', 'Demrick', 'Dessa']"
Okieriete Onaodowan,"Okieriete ""Oak"" Onaodowan ( born August 16, 1987)is an American actor and singer known for originating the dual roles of Hercules Mulligan and James Madison in the 2015 musical Hamilton and the role of Dean Miller in the ABC drama and Grey's Anatomy spin-off series Station 19. https://www.last.fm/music/Okieriete+Onaodowan",226860,1355737,"['Thayne Jasperson', 'Christopher Jackson', 'Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry']"
Aimer,"There are at least 4 artists who go by Aimer:

1. Aimer (エメ, pronounced eh-meh) is a Japanese pop singer and lyricist signed to SACRA MUSIC and managed by agehasprings. She played piano in elementary school and picked up the guitar in junior high school. She writes music in both Japanese and English and has a good command of English from her experiences living abroad.

2. AIMER (Sometimes stylised as ""AiMER"") is a Dubstep producer and DJ from Brisbane, Australia. https://www.last.fm/music/Aimer",444920,23077109,"['ReoNa', 'Uru', 'Milet', 'SawanoHiroyuki[nZk]:Aimer', 'SawanoHiroyuki[nZk]']"
Phillipa Soo,"Phillipa Soo (born May 31, 1990) is an American actress best known for originating the role of Elizabeth Schuyler Hamilton in the 2015 Broadway musical, Hamilton.

After graduating from Juilliard in 2012, Soo was cast as Natasha Rostova in the Ars Nova production of Dave Malloy's Natasha, Pierre & The Great Comet of 1812, based on Leo Tolstoy's War & Peace; the show went on to transfer Off-Broadway to Kazino, a tent custom built for the show.

In https://www.last.fm/music/Phillipa+Soo",545794,14137529,"['Christopher Jackson', 'Leslie Odom Jr.', 'Renée Elise Goldsberry', 'Lin-Manuel Miranda', 'Jonathan Groff']"
Ivo Pattiera,https://www.last.fm/music/Ivo+Pattiera,448,2168,"['Klapa Maslina', 'Klapa Šibenik', 'Tomislav Ivčić', 'Đani Maršan', 'Nenad Kero']"
krunoslav kićo slabinac,"Born in Osijek on 28th of March 1948. He started his singing career with Osijek's pop groups and his solo career was marked by song ""Plavuša"" (eng. Blonde:P). Nowadays he sings on festivals, winner of many awards, he often goes on tours for Croatian diaspora. He is a succesfull hit composer, founder of ""tambura"" band ""Bećari"" with whom he entertains and fosters original melodies of Croatian people.


//


Rođen u Osijeku 28.03.1948. S pjevanjem je započeo u Osiječkim pop grupama a solističku karijeru obilježila mu je skladba Plavuša. https://www.last.fm/music/krunoslav+ki%C4%87o+slabinac",1008,8476,"['Zlatni Dukati', 'Gazde', 'Slavonske Lole', 'Najbolji Hrvatski Tamburaši', 'Zlatko Pejaković']"
